gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
PYCR1,11.42124151,10.94652046,11.5714933,11.2679469,12.0889062,5.743775977,5.688667359,5.811697526,12.12485441,12.09997262,11.36487437,11.09084635,11.25453578,12.31830307,12.15997384,12.22001653,12.12087749,10.97579992,11.17901516,12.04227561,12.11646804,12.29399715,11.5279247
AFMID,7.024994375,6.893376445,6.811849429,7.33384502,7.483452363,6.443976289,6.54768785,6.283200501,7.590154294,7.508875503,7.460620026,7.375236131,7.267370071,7.537866879,7.673186186,7.244141977,7.598269968,7.817463145,7.186135699,7.298945655,7.627217877,7.600077973,7.41988207
C19orf71,6.840270189,6.508461273,7.032733501,6.805086028,7.33159361,7.987266616,8.003204528,7.729907335,6.717089915,7.472518771,6.822128635,6.589063558,6.730359391,7.143656092,7.017715112,6.744127066,7.07037918,7.793673091,7.107094099,6.944715979,7.0693461,6.864112693,6.74942269
CCDC159,7.836040164,7.826313178,7.776304046,7.913382026,8.224012932,9.601459435,9.697923405,9.063072367,7.934800167,8.243200529,7.901696049,7.82282931,7.939816994,8.111808687,8.280439959,7.788259122,8.161393641,8.969660831,8.044542597,8.036765763,8.0869472,7.778049426,7.622770883
MRPL54,9.989155399,9.28937436,10.29939261,9.534528457,10.3656738,8.854815855,8.749283856,9.502085413,10.30563478,10.4658195,9.518020503,9.319580749,9.606224442,10.58058604,10.40333022,10.42939204,10.3820123,9.976840744,9.383169701,10.19649236,10.21418406,10.53665928,10.1471246
ALYREF,12.21775269,12.20148563,12.25477935,12.22701876,12.47897371,10.12924973,9.833755688,10.04154522,12.35910085,12.5226179,12.29974205,12.16775845,12.25820918,12.4247818,12.41027009,12.36936086,12.38127607,11.62839888,12.19730071,12.17654907,12.32276958,12.44003214,12.3261193
COA3,8.760611889,8.957590145,8.844590171,9.02299473,9.167057535,8.691620443,8.221799862,8.596291803,9.310773303,9.294257378,9.173669541,9.137645834,9.282830287,9.265998729,9.349851936,9.226560455,9.146269065,9.213289552,9.221361066,9.08372134,9.08495756,9.327730745,9.420818857
ACTG1,16.24313203,16.45663703,16.26669914,16.75883248,16.69900909,15.00263119,14.91071481,14.81174093,16.58216503,16.77159959,16.82270752,16.66898839,16.69359164,16.61993268,16.74822125,16.59552949,16.67041748,16.35979356,16.76064568,16.45204173,16.59981375,16.61781016,16.64346479
SS18L1,8.94754358,8.945660831,9.152076813,9.293433124,9.179821284,9.793970193,10.19980744,9.791844904,9.090401782,9.447284014,9.279823442,9.234538332,9.080592798,9.217665932,9.293853088,9.283022698,9.299564,9.257440728,9.389446353,9.425688489,9.077772012,9.005915432,8.806444304
SOCS3,12.62508111,13.25524929,12.99288225,12.59790364,12.53685847,8.162543545,8.098769507,7.27045269,11.82222321,12.17377331,12.43741553,12.6175675,12.58440065,12.12968251,12.38570069,12.08513251,12.30379884,11.31981376,12.51139318,11.87062943,12.01196334,12.13220977,12.65433828
SEPTIN9,12.33627028,12.95895261,12.58172595,13.76292768,13.51386825,14.9999314,14.82738054,15.22172132,13.44644047,13.56486231,13.82356046,13.68860768,13.72119563,13.37614764,13.52685446,13.25452189,13.48460106,13.82378122,13.94920347,13.43197846,13.31179531,13.3055357,13.49082157
FMNL1,12.10295066,12.42887881,12.22147455,12.70725523,12.73418059,13.75727651,13.87055858,13.62856313,12.69862341,12.82931111,12.73993923,12.56527495,12.53713169,12.72873619,12.85396476,12.65436463,12.8268593,12.59037489,12.79324694,12.66189499,12.62160156,12.67830897,12.3774468
TMEM106A,9.989155399,9.918834254,9.74906163,8.741786547,9.084619055,9.030565626,9.017308171,8.335047776,8.604076306,8.953151764,8.476233341,8.670991135,8.51696222,8.634331284,8.946959982,8.459393507,9.110673649,10.33821431,8.851773478,8.683592158,9.011438913,8.505720357,8.278326184
UBOX5,9.342900565,9.315565484,9.229504519,8.948657066,9.111515363,9.509198571,9.802555519,9.43039169,9.10777152,9.10732976,8.910518137,8.769888125,8.94072009,8.899473046,9.217645492,8.99828365,9.074177729,8.836285434,8.928490727,8.899211994,9.144631538,9.002804039,8.831856604
SLC24A3,6.761520611,7.053119664,6.719443524,6.805086028,6.830648098,7.041092845,7.487461469,6.545194954,6.623583184,6.704970399,6.889377827,6.834608516,6.670887564,6.873494446,6.727669172,6.529760355,7.040423342,6.535476829,6.990817246,6.728547893,6.612934709,6.559847632,6.708851289
